//直播源本地路径：clan://localhost/ITVBox/tv/tvonline.txt
//直播源在线路径：http://itv.22m.top/ITVBox/tv/tvonline.txt
//diyp专用版epg：http://diyp1.112114.xyz/

//北京联通组播IP端口：ikuai.zlsip.top:4022
//河北联通组播IP端口：www.xingwen.online:9810     //河北电信组播IP端口：www.biaowen.net:4022
//云南电信组播IP端口：enlen.vip:4022
//四川电信组播IP端口：xeace.cn:8888
//湖南电信组播IP端口：www.erbao1981.top:8188
//湖北电信组播IP端口：www.hiliu.myds.me:8088
//贵州电信组播IP端口：www.qhjx.top:18000
//天津联通组播IP端口：ha.xushining.com:50000
//河南联通组播IP端口：115.60.241.249:2000
港澳频道token：631170156107453
//斗鱼1线：http://zzy789.xyz/douyu1.php?id= 斗鱼2线：http://159.75.85.63:35455/douyu/ 

🥭芒果独播,#genre#
电视剧1,http://zby.xjqxz.top/dsdsj1/live.m3u8
电视剧2,http://zby.xjqxz.top/dsdsj2/live.m3u8
电视剧3,http://zby.xjqxz.top/dsdsj3/live.m3u8
电视剧4,http://zby.xjqxz.top/gzdsj1/live.m3u8
电视剧5,http://zby.xjqxz.top/gzdsj2/live.m3u8
电视剧6,http://zby.xjqxz.top/gzwxj/live.m3u8
电视剧7,http://zby.xjqxz.top/gzdsj3/live.m3u8
电视剧8,http://zby.xjqxz.top/gzdsj4/live.m3u8
电视剧9,http://zby.xjqxz.top/gzdsj5/live.m3u8
电视剧10,http://zby.xjqxz.top/kzzypd/live.m3u8
电视剧11,http://zby.xjqxz.top/dzzypd/live.m3u8
电视剧12,http://zby.xjqxz.top/dzzypd2/live.m3u8
电视剧13,http://zby.xjqxz.top/dzzypd3/live.m3u8

电视剧14,http://37.27.111.214:8080/live/108/hls.m3u8
电视剧15,http://37.27.111.214:8080/live/109/hls.m3u8
电视剧16,http://37.27.111.214:8080/live/111/hls.m3u8
动漫1台,http://37.27.111.214:8080/live/105/hls.m3u8
动漫2台,http://37.27.111.214:8080/live/106/hls.m3u8

🇨🇳央视频道,#genre#
CCTV4K超高清,http://enlen.vip:4022/udp/239.200.200.202:8784$云南电信组播
CCTV4K超高清,http://www.xingwen.online:9810/rtp/239.253.93.134:6631$河北联通组播
//黑龙江移动IPV4
CCTV-1 综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$黑龙江移动IPV4
CCTV-2 财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8$黑龙江移动IPV4
CCTV-3 综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$黑龙江移动IPV4
CCTV-4 中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8$黑龙江移动IPV4
CCTV-5 体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8$黑龙江移动IPV4
CCTV5+体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8$黑龙江移动IPV4
CCTV-6 电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8$黑龙江移动IPV4
CCTV-7 国防军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8$黑龙江移动IPV4
CCTV-8 电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8$黑龙江移动IPV4
CCTV-9 纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8$黑龙江移动IPV4
CCTV-10 科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8$黑龙江移动IPV4
CCTV-11 戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8$黑龙江移动IPV4
CCTV-12 社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8$黑龙江移动IPV4
CCTV-13 新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8$黑龙江移动IPV4
CCTV-14 少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8$黑龙江移动IPV4
CCTV-15 音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8$黑龙江移动IPV4
CCTV-16 奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$黑龙江移动IPV4
CCTV-17 农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8$黑龙江移动IPV4

//北京联通组播IP端口：ikuai.zlsip.top:4022
CCTV-1 综合,http://ikuai.zlsip.top:4022/rtp/239.3.1.129:8008$北京联通组播
CCTV-2 财经,http://ikuai.zlsip.top:4022/rtp/239.3.1.60:8084$北京联通组播
CCTV-3 综艺,http://ikuai.zlsip.top:4022/rtp/239.3.1.172:8001$北京联通组播
CCTV-4 中文国际,http://ikuai.zlsip.top:4022/rtp/239.3.1.105:8092$北京联通组播
CCTV-5 体育,http://ikuai.zlsip.top:4022/rtp/239.3.1.173:8001$北京联通组播
CCTV5+体育赛事,http://ikuai.zlsip.top:4022/rtp/239.3.1.130:8004$北京联通组播
CCTV-6 电影,https://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8$央视频
CCTV-6 电影,http://ikuai.zlsip.top:4022/rtp/239.3.1.174:8001$北京联通组播
CCTV-7 国防军事,http://ikuai.zlsip.top:4022/rtp/239.3.1.61:8104$北京联通组播
CCTV-8 电视剧,http://ikuai.zlsip.top:4022/rtp/239.3.1.175:8001$北京联通组播
CCTV-9 纪录,http://ikuai.zlsip.top:4022/rtp/239.3.1.62:8112$北京联通组播
CCTV-10 科教,http://ikuai.zlsip.top:4022/rtp/239.3.1.63:8116$北京联通组播
CCTV-11 戏曲,http://ikuai.zlsip.top:4022/rtp/239.3.1.152:8120$北京联通组播
CCTV-12 社会与法,http://ikuai.zlsip.top:4022/rtp/239.3.1.64:8124$北京联通组播
CCTV-13 新闻,http://ikuai.zlsip.top:4022/rtp/239.3.1.124:8128$北京联通组播
CCTV-14 少儿,http://ikuai.zlsip.top:4022/rtp/239.3.1.65:8132$北京联通组播
CCTV-15 音乐,http://ikuai.zlsip.top:4022/rtp/239.3.1.153:8136$北京联通组播
CCTV-16 奥林匹克,http://ikuai.zlsip.top:4022/rtp/239.3.1.183:8001$北京联通组播
CCTV-17 农业农村,http://ikuai.zlsip.top:4022/rtp/239.3.1.151:8144$北京联通组播

//河北联通组播IP端口：www.xingwen.online:9810
